review_id,date,rating,review_text,platform,app_version,country,city,device,user_segment,subscription_tier,customer_tenure_months,acquisition_channel,language,support_ticket_created,verified_user
REV-000001,2026-03-29,1,"Honestly, the session expiry happens too quickly. Need a reliable solution. 👍",iOS,3.3.0,India,Delhi,iPhone 15,Power User,Free,29.0,Organic,Informal English,True,True
REV-000002,2025-12-16,5,the app crashes on startup,Android,3.2.1,India,Bengaluru,Motorola Edge,Power User,Premium,29.0,Referral,English,True,True
REV-000003,2026-05-02,4,"After the latest update, It would be better if you added a budgeting dashboard with spending categories. Hope the next update resolves it.",iOS,3.4.0,United Arab Emirates,Abu Dhabi,iPhone 13,New User,Free,3.0,Paid Search,Hinglish,False,True
REV-000004,2026-03-09,3,"After the latest update, the update installation keeps failing. This happened while paying a bill. Also, the latest version feels smooth and easy to use. Kindly check asap.",Android,3.3.0,India,Bhopal,Samsung Galaxy S23,Power User,Free,47.0,Referral,English,False,True
REV-000005,2025-08-07,5,"After the latest update, It would be better if you added dark mode. This happened while paying a bill. Also, the refund arrived much faster than expected. Need a reliable solution.",Android,3.0.1,India,Chennai,Nothing Phone 2,Student,Free,5.0,Organic,English,False,True
REV-000006,2026-06-19,4,"On my account, the refund arrived much faster than expected. Also, I receive duplicate notification messages. Please fix this.",iOS,3.4.0,United Arab Emirates,Dubai,iPhone 15,Power User,Premium,48.0,Organic,English,True,True
REV-000007,2026-03-24,5,"On my account, Feature request: please add API access and bank integrations.",iOS,3.3.0,India,Bhopal,iPhone 14,Power User,Free,43.0,Organic,English,False,True
REV-000008,2026-04-03,2,Can you add PDF statements,Android,3.3.1,India,Jaipur,OnePlus 12,Returning User,Free,13.0,Organic,English,True,True
REV-000009,2025-08-20,3,"After the latest update, payment failed but money deducted. This happened while paying a bill. Also, support fixed my issue quickly. Please fix this.",Android,3.0.1,Singapore,Singapore,Xiaomi Redmi Note 13,Returning User,Premium,18.0,Organic,English,True,True
REV-000010,2025-12-18,1,the app crashes on startup. Need a reliable solution.,iOS,3.2.1,Australia,Melbourne,iPhone 13,Returning User,Free,11.0,Referral,English,True,True
REV-000011,2025-11-29,5,subscription pricing is unclear,Android,3.2.0,India,Delhi,OnePlus Nord,Student,Free,6.0,Social,English,False,True
REV-000012,2026-05-27,3,"For the last few days, card declined even though funds are available. Kindly check asap.",Android,3.4.0,India,Ahmedabad,Nothing Phone 2,Returning User,Premium,21.0,Organic,English,True,True
REV-000013,2026-02-26,1,"On my account, checkout failed during bill payment.",Android,3.2.2,India,Mumbai,OnePlus Nord,New User,Free,0.0,Paid Search,English,False,True
REV-000014,2026-04-20,1,  subscription  pricing  changed unexpectedly. Need a reliable solution.  ,iOS,3.3.1,United States,New York,iPhone 15,Power User,Free,37.0,Organic,English,False,True
